Kami mendapat rumah murah di dekat sungai.,We got a cheap house near the river.
10 years ago,10 tahun lalu,lesson2 tenses time en-id
to buy (formal),membeli,lesson1 adjectives-prefixes shopping en-id
Lokasi hotel ini nyaman.,The hotel's location is convenient.,lesson9 id-en phrase
today,hari ini,lesson2 tenses time en-id
koran,newspaper,lesson5 vocab id-en
in two years,dalam dua tahun,lesson2 tenses time en-id
Brazil,Brazil,lesson4 travel en-id
somebody / someone,seseorang
upstairs,lantai atas,lesson5 rooms en-id
since the beginning / all along,dari dulu,lesson4 time en-id
air conditioner,AC,lesson2 tenses household en-id
Istri saya bekerja di desa itu.,My wife works in that village.
sembilan puluh,ninety
itu sulit,that is difficult,lesson4 work-study id-en
nyaman,comfortable,lesson9 descriptions id-en
paling,most (superlative),lesson9 travel-time id-en
Scotland,Skotlandia,lesson2 tenses places en-id
Hujan deras menyebabkan banjir.,Heavy rain caused a flood.,lesson7 id-en phrase
which is your favourite?,yang mana favoritmu?,lesson9 comparison-misc en-id
fruit,buah
month / moon,bulan,lesson2 tenses time en-id
Kamar depan cocok untuk kantor kecil.,The front room is suitable for a small office.
lima belas,fifteen
Orang tua saya tinggal di desa.,My parents live in a village.
He/She often sneezes because of an allergy.,Dia sering bersin karena alergi.,lesson8 en-id phrase
orang Indonesia,Indonesians,lesson9 people-culture id-en
season,musim,lesson1 adjectives-prefixes weather en-id
village,desa
We usually spend Christmas with our parents.,Natal biasanya kami habiskan bersama orang tua.
sekarang,now,lesson2 tenses time id-en
room,ruang,lesson5 rooms en-id
setiap,every,lesson5 time id-en
alergi,allergy / allergic,lesson8 health id-en
two,dua
freshwater fish,ikan sungai,lesson6 food en-id
yakin,sure / certain,lesson9 comparison-misc id-en
exactly / fits,pas,lesson3 shopping misc en-id
"Saya minta air, tolong.","I'm asking for water, please.",lesson6 id-en phrase
to protect,melindungi
worried,khawatir,lesson5 vocab en-id
in front / next (time),depan,lesson7 directions en-id
Kami melihat sebagian kota hari ini dan sisanya besok.,We saw part of the city today and the rest tomorrow.
baru-baru ini,recently
Film itu menakutkan.,That film is scary.,lesson8 id-en phrase
I have 342 photos.,Saya punya tiga ratus empat puluh dua foto.
Harga termasuk pagar dan garasi.,The price includes the fence and the garage.
"Ketika dia telepon aku, saya sedang di halte.","When he called me, I was at the bus stop.",lesson7 id-en phrase
mengubah (ubah),to change
car,mobil,lesson7 transport en-id
Penerbangan langsung lebih cepat daripada jadwal penyeberangan.,A direct flight is faster than taking the ferry.,lesson7 id-en phrase
electricity / electric,listrik,lesson8 tech-utilities en-id
upload (root),unggah,lesson8 tech-utilities en-id
really (after adjective),sekali,lesson1 adjectives-prefixes intensifier en-id
lagi,again / more,lesson3 shopping misc id-en
naik pesawat,to fly / take a plane,lesson4 travel id-en
ability to speak quickly,kemampuan berbicara cepat,lesson4 work-study en-id
tulis,to write,lesson6 writing id-en
plain / flatland,dataran,lesson9 places en-id
still,masih,lesson8 quantifiers en-id
jarang,rarely / seldom
Saya meminta tanda tangan Anda di perjanjian ini.,I request your signature on this agreement.
jarang,seldom,lesson3 shopping frequency id-en
separuh,half,lesson8 quantifiers id-en
partner (significant other),pasangan
murah,cheap
wave (in the sea),ombak,lesson5 vocab en-id
normally / usually,biasanya,lesson4 time en-id
I ate half of that cake.,Saya makan setengah kue itu.,lesson8 en-id phrase
sistem pertama,the first system,lesson8 tech-utilities id-en
both,keduanya
Buenos Aires is safer than London,BA lebih aman daripada London,lesson4 travel en-id
next / following,selanjutnya,lesson7 directions en-id
Kami ingin mengubah pagar di kebun.,We want to change the fence in the garden.
saltwater fish,ikan laut,lesson6 food en-id
like this / like this one,seperti ini,lesson8 location-reference en-id
north,utara,lesson7 directions en-id
itchy / itch,gatal,lesson8 health en-id
musim panas,summer,lesson1 adjectives-prefixes weather id-en
bulanan,monthly,lesson3 shopping frequency id-en
decade (formal),dasawarsa,lesson2 tenses time en-id
schedule,jadwal,lesson7 transport en-id
dry,kering,lesson1 adjectives-prefixes weather en-id
cold,dingin,lesson1 adjectives-prefixes weather en-id
anywhere,di mana pun
one hundred,seratus
The wind blows from the west.,Angin bertiup dari barat.
The highlands in North Sumatra are interesting.,Dataran tinggi di Sumatera Utara menarik.,lesson9 en-id phrase
hot / heat,panas,lesson6 temperature en-id
bisa ditawar?,can it be bargained?,lesson3 shopping shopping id-en
while,sambil,lesson6 sports en-id
delapan,eight
lain,other / another,lesson5 vocab id-en
sehat,healthy,lesson1 adjectives-prefixes health id-en
sebagian besar,most (of)
mengunjungi,to visit (transitive),lesson2 tenses travel id-en
Ikan sungai dan ikan laut berbeda rasa.,Freshwater and saltwater fish taste different.,lesson6 id-en phrase
My garage is a mess; I need to tidy up.,Garasi saya berantakan; saya harus beres-beres.
lowlands,dataran rendah,lesson9 places en-id
nineteen,sembilan belas
countryside,pedesaan,lesson4 travel en-id
Festival itu setiap Agustus.,That festival is every August.
"Minuman aja, saya tidak mau makanan.",Just a drink; I don't want food.,lesson7 id-en phrase
mau beli apa?,what do you want to buy?,lesson3 shopping shopping id-en
January,Januari
Those lowlands are far from the beach.,Dataran rendah itu jauh dari pantai.,lesson9 en-id phrase
Kemarin saya pulang ke rumah.,Yesterday I returned home.,lesson6 id-en phrase
keluar,to go out / get out,lesson2 tenses movement id-en
lantai,floor,lesson5 rooms id-en
not expensive,tidak mahal,lesson9 comparison-misc en-id
setiap beberapa minggu,every few weeks,lesson5 time id-en
Apakah kamu suka desain seperti ini?,Do you like a design like this?,lesson8 id-en phrase
monthly,bulanan,lesson3 shopping frequency en-id
menakutkan,scary / frightening,lesson8 qualities id-en
to upload / post (on social media),mengunggah,lesson8 tech-utilities en-id
besok,tomorrow
That house is around ten minutes from the river.,Rumah itu sekitar sepuluh menit dari sungai.
different,berbeda,lesson6 comparison en-id
anytime,kapan pun
Somebody knocked on the door.,Seseorang mengetuk pintu.
forty,empat puluh
aneh,weird / strange,lesson8 qualities id-en
My family moved to Surabaya last year.,Keluarga saya pindah ke Surabaya tahun lalu.,lesson8 en-id phrase
tanya,to ask (a question),lesson6 health-comm id-en
risk,risiko
sangat,very / really (before adj./verb),lesson1 adjectives-prefixes intensifier id-en
liburan,holiday / vacation,lesson4 time id-en
