Kami mendapat rumah murah di dekat sungai.,We got a cheap house near the river.
Face,Wajah
Wajah,Face

Most / majority,Kebanyakan
Kebanyakan,Most / majority

Argument,Argumen
Argumen,Argument

Evidence,Bukti
Bukti,Evidence

My boss’s boss,Bosnya bosku
Bosnya bosku,My boss’s boss

Free time,Waktu luang
Waktu luang,Free time

Debt,Utang
Utang,Debt

Percent,Persen
Persen,Percent

Fired (from a job),Dipecat
Dipecat,Fired (from a job)

Garage / repair shop,Bengkel
Bengkel,Garage / repair shop

Car dealership,Dealer mobil
Dealer mobil,Car dealership

Dizzy,Pusing
Pusing,Dizzy

Headache,Sakit kepala
Sakit kepala,Headache

Dizzy / faint,Pening
Pening,Dizzy / faint

Migraine,Migren
Migren,Migraine

Toast,Roti bakar
Roti bakar,Toast

Pig blood,Darah babi
Darah babi,Pig blood

Tomatoes,Tomat
Tomat,Tomatoes

Should / supposed to,Seharusnya
Seharusnya,Should / supposed to

To lose (a game),Kalah
Kalah,To lose (a game)

To resign,Mengundurkan diri
Mengundurkan diri,To resign

To quit / leave (job),Keluar dari pekerjaan
Keluar dari pekerjaan,To quit / leave (job)

Match / game,Pertandingan
Pertandingan,Match / game

Advertising / advertisement,Iklan
Iklan,Advertising / advertisement

Most points,Paling banyak poin
Paling banyak poin,Most points

Bombed,Dibom
Dibom,Bombed

Player,Pemain
Pemain,Player

Badminton,Bulu tangkis
Bulu tangkis,Badminton

Funding,Dana
Dana,Funding

General / public,Umum
Umum,General / public

Generally,Umumnya
Umumnya,Generally

Active verb prefix indicating the subject performs the action,me-
me-,Active verb prefix indicating the subject performs the action

Verb pattern often meaning to cause or affect something,me-…-kan
me-…-kan,Verb pattern often meaning to cause or affect something

Prefix indicating being in a state or doing,ber-
ber-,Prefix indicating being in a state or doing

Saya terbiasa memakai masker sejak pandemi.,I am used to wearing a mask since the pandemic.
I am used to wearing a mask since the pandemic.,Saya terbiasa memakai masker sejak pandemi.

Rekan kerja saya mengundurkan diri minggu lalu.,My coworker resigned last week.
My coworker resigned last week.,Rekan kerja saya mengundurkan diri minggu lalu.

Dia dipecat karena argumennya tidak ada bukti.,He was fired because his argument had no evidence.
He was fired because his argument had no evidence.,Dia dipecat karena argumennya tidak ada bukti.

Saya tidak punya waktu luang.,I do not have free time.
I do not have free time.,Saya tidak punya waktu luang.

Tim itu kalah.,That team lost.
That team lost.,Tim itu kalah.

Pemain bulu tangkis itu menang pertandingan.,The badminton player won the match.
The badminton player won the match.,Pemain bulu tangkis itu menang pertandingan.

Saya sakit kepala dan sedikit pusing.,I have a headache and feel a bit dizzy.
I have a headache and feel a bit dizzy.,Saya sakit kepala dan sedikit pusing.

Umumnya iklan itu untuk produk umum.,Generally the advertising is for general products.
Generally the advertising is for general products.,Umumnya iklan itu untuk produk umum.

Mereka mempertahankan dana untuk proyek baru.,They retained funding for a new project.
They retained funding for a new project.,Mereka mempertahankan dana untuk proyek baru.

Dia makan roti bakar dengan tomat.,He ate toast with tomatoes.
He ate toast with tomatoes.,Dia makan roti bakar dengan tomat.

Tim itu mendapat paling banyak poin musim ini.,That team got the most points this season.
That team got the most points this season.,Tim itu mendapat paling banyak poin musim ini


recently,baru-baru ini
baru-baru ini,recently
eventually,akhirnya
akhirnya,eventually
overnight,semalaman
semalaman,overnight
in two years,dua tahun lagi
dua tahun lagi,in two years
to find,menemukan
menemukan,to find
suitable / a good fit,cocok
cocok,suitable / a good fit
to research,meneliti
meneliti,to research
to negotiate,bernegosiasi
bernegosiasi,to negotiate
that (introducing a statement),bahwa
bahwa,that (introducing a statement)
to spend too long,berlama-lama
berlama-lama,to spend too long
to install,memasang
memasang,to install
to switch,beralih
beralih,to switch
choice / option,pilihan
pilihan,choice / option
to drive (informal),menyetir
menyetir,to drive (informal)
to drive (formal),mengemudi
mengemudi,to drive (formal)
charger,pengisi daya
pengisi daya,charger
energy tariff,tarif energi
tarif energi,energy tariff
to fully charge,untuk mengisi daya penuh
untuk mengisi daya penuh,to fully charge
I’m not sure,saya tidak yakin
saya tidak yakin,I’m not sure
original / genuine,asli
asli,original / genuine
the majority,mayoritas
mayoritas,the majority
signature,tanda tangan
tanda tangan,signature
to sign,menandatangani
menandatangani,to sign
driving licence,SIM (Surat Izin Mengemudi)
SIM (Surat Izin Mengemudi),driving licence
Recently I found an option that suits me.,Baru-baru ini saya menemukan pilihan yang cocok.
Baru-baru ini saya menemukan pilihan yang cocok.,Recently I found an option that suits me.
I researched the energy tariff before switching.,Saya meneliti tarif energi sebelum beralih.
Saya meneliti tarif energi sebelum beralih.,I researched the energy tariff before switching.
We negotiated for a long time and eventually signed the contract.,Kami bernegosiasi lama sekali dan akhirnya menandatangani kontrak.
Kami bernegosiasi lama sekali dan akhirnya menandatangani kontrak.,We negotiated for a long time and eventually signed the contract.
The charger was installed and the car was charged overnight.,Pengisi daya itu dipasang dan mobil diisi daya semalaman.
Pengisi daya itu dipasang dan mobil diisi daya semalaman.,The charger was installed and the car was charged overnight.
The majority of people say that this tariff is cheaper.,Mayoritas orang mengatakan bahwa tarif ini lebih murah.
Mayoritas orang mengatakan bahwa tarif ini lebih murah.,The majority of people say that this tariff is cheaper.
I’m not sure this is original.,Saya tidak yakin ini asli.
Saya tidak yakin ini asli.,I’m not sure this is original.
I don’t want to spend too long in the office today.,Saya tidak mau berlama-lama di kantor hari ini.
Saya tidak mau berlama-lama di kantor hari ini.,I don’t want to spend too long in the office today.
In two years I want to drive an electric car.,Dua tahun lagi saya ingin menyetir mobil listrik.
Dua tahun lagi saya ingin menyetir mobil listrik.,In two years I want to drive an electric car.
I forgot to bring my driving licence.,Saya lupa membawa SIM.
Saya lupa membawa SIM.,I forgot to bring my driving licence.

kontrak,contract
contract,kontrak
kesalahan,mistake
mistake,kesalahan
terlambat,late
late,terlambat
komunikasi,communication
communication,komunikasi
menyampaikan,to communicate / convey
to communicate / convey,menyampaikan
sebal,annoyed
annoyed,sebal
tanda tangan,signature / to sign
signature / to sign,tanda tangan
faktanya,in fact
in fact,faktanya
ambil,to take / collect
to take / collect,ambil
menyetir,to drive
to drive,menyetir
membuat rencana,to make a plan
to make a plan,membuat rencana
produktif,productive
productive,produktif
mengalami,to experience
to experience,mengalami
sebagai,as
as,sebagai
rahasia,secret
secret,rahasia
cairan,liquid
liquid,cairan
mengingatkan,to remind
to remind,mengingatkan
pindah,to move
to move,pindah
beban,burden
burden,beban
layar,screen
screen,layar
jenis,type
type,jenis
damai,peaceful
peaceful,damai
mabuk,drunk
drunk,mabuk
para pekerja,the workers
the workers,para pekerja
para pendengar,the listeners
the listeners,para pendengar
nyenyak,to sleep soundly
to sleep soundly,nyenyak
ketertarikan,interest
interest,ketertarikan
sayang,affection / love
affection / love,sayang
tiram,oyster
oyster,tiram
saus tiram,oyster sauce
oyster sauce,saus tiram
tert arik,interested
interested,tertarik
di sisi lain,on the other hand
on the other hand,di sisi lain
selama aku mau,as long as I want
as long as I want,selama aku mau
Indonesia adalah negara keempat dengan populasi terbanyak,Indonesia is the country with the fourth largest population
Indonesia is the country with the fourth largest population,Indonesia adalah negara keempat dengan populasi terbanyak
aku merasa lebih terjaga,I feel more awake
I feel more awake,aku merasa lebih terjaga

Saya menandatangani kontrak kemarin.,I signed the contract yesterday.
I signed the contract yesterday.,Saya menandatangani kontrak kemarin.
Maaf saya terlambat karena ada masalah komunikasi.,Sorry I was late because there was a communication problem.
Sorry I was late because there was a communication problem.,Maaf saya terlambat karena ada masalah komunikasi.
Faktanya, itu bukan kesalahan saya.,In fact, it was not my mistake.
In fact, it was not my mistake.,Faktanya, itu bukan kesalahan saya.
Saya merasa sebal karena dia tidak menyampaikan pesan itu.,I felt annoyed because he did not communicate the message.
I felt annoyed because he did not communicate the message.,Saya merasa sebal karena dia tidak menyampaikan pesan itu.
Para pekerja membuat rencana baru.,The workers made a new plan.
The workers made a new plan.,Para pekerja membuat rencana baru.
Saya mengalami banyak kesulitan sebagai pendatang baru.,I experienced many difficulties as a newcomer.
I experienced many difficulties as a newcomer.,Saya mengalami banyak kesulitan sebagai pendatang baru.
Aku tidur nyenyak semalam.,I slept well last night.
I slept well last night.,Aku tidur nyenyak semalam.
Aku merasa lebih terjaga setelah minum kopi.,I feel more awake after drinking coffee.
I feel more awake after drinking coffee.,Aku merasa lebih terjaga setelah minum kopi.
Saya tertarik dengan budaya Indonesia.,I am interested in Indonesian culture.
I am interested in Indonesian culture.,Saya tertarik dengan budaya Indonesia.
Di sisi lain, negara itu sangat damai.,On the other hand, the country is very peaceful.
On the other hand, the country is very peaceful.,Di sisi lain, negara itu sangat damai.
Dia mabuk dan menyetir mobilnya.,He was drunk and drove his car.
He was drunk and drove his car.,Dia mabuk dan menyetir mobilnya.
Ini jenis cairan yang berbeda.,This is a different type of liquid.
This is a different type of liquid.,Ini jenis cairan yang berbeda.
Tolong ingatkan saya untuk ambil dokumen itu.,Please remind me to collect that document.
Please remind me to collect that document.,Tolong ingatkan saya untuk ambil dokumen itu.
Saya akan pindah rumah selama aku mau.,I will move house as long as I want.
I will move house as long as I want.,Saya akan pindah rumah selama aku mau.

Saya akan mencoba memahami kontrolnya,I will try to understand the controls
I will try to understand the controls,Saya akan mencoba memahami kontrolnya

aku tidak yakin,I'm not sure
I'm not sure,aku tidak yakin

sayangnya,unfortunately
unfortunately,sayangnya

musim semi,spring
spring,musim semi

zaman,era / period of time
era / period of time,zaman

sekitar,around / nearby
around / nearby,sekitar

pusat kota,town centre
town centre,pusat kota

titik,point
point,titik

bangunan,building
building,bangunan

setir mobil,steering wheel
steering wheel,setir mobil

beban,weight / burden
weight / burden,beban

lengan,arm
arm,lengan

baju lengan pendek,short-sleeved top
short-sleeved top,baju lengan pendek

sangat,very (formal/neutral)
very (formal/neutral),sangat

sekali,very (neutral emphasis)
very (neutral emphasis),sekali

banget,very (informal)
very (informal),banget

banyak,a lot / many
a lot / many,banyak

sempurna,perfect
perfect,sempurna

gerah,feeling hot / overheated
feeling hot / overheated,gerah

Saya akan mencoba memahami kontrolnya di bangunan itu.,I will try to understand the controls in that building.
I will try to understand the controls in that building.,Saya akan mencoba memahami kontrolnya di bangunan itu.

Aku tidak yakin titik ini sekitar pusat kota.,I'm not sure this point is near the town centre.
I'm not sure this point is near the town centre.,Aku tidak yakin titik ini sekitar pusat kota.

Musim semi di zaman itu sangat sempurna.,Spring in that era was very perfect.
Spring in that era was very perfect.,Musim semi di zaman itu sangat sempurna.

Setir mobil itu sangat berat, seperti beban besar.,The steering wheel is very heavy, like a big weight.
The steering wheel is very heavy, like a big weight.,Setir mobil itu sangat berat, seperti beban besar.

Sayangnya, aku memakai baju lengan pendek dan sekarang gerah banget.,Unfortunately, I’m wearing a short-sleeved top and now I’m very hot.
Unfortunately, I’m wearing a short-sleeved top and now I’m very hot.,Sayangnya, aku memakai baju lengan pendek dan sekarang gerah banget.
